ratingID,movieID,rating_userID,rating,timestamp
1,1,1,4.0,964982703
2,3,1,4.0,964981247
3,6,1,4.0,964982224
4,47,1,5.0,964983815
5,50,1,5.0,964982931
6,70,1,3.0,964982400
7,101,1,5.0,964980868
8,110,1,4.0,964982176
9,151,1,5.0,964984041
10,157,1,5.0,964984100
11,163,1,5.0,964983650
12,216,1,5.0,964981208
13,223,1,3.0,964980985
14,231,1,5.0,964981179
15,235,1,4.0,964980908
16,260,1,5.0,964981680
17,296,1,3.0,964982967
18,316,1,3.0,964982310
19,333,1,5.0,964981179
20,349,1,4.0,964982563
21,356,1,4.0,964980962
22,362,1,5.0,964982588
23,367,1,4.0,964981710
24,423,1,3.0,964982363
25,441,1,4.0,964980868
26,457,1,5.0,964981909
27,480,1,4.0,964982346
28,500,1,3.0,964981208
29,527,1,5.0,964984002
30,543,1,4.0,964981179
31,552,1,4.0,964982653
32,553,1,5.0,964984153
33,590,1,4.0,964982546
34,592,1,4.0,964982271
35,593,1,4.0,964983793
36,596,1,5.0,964982838
37,608,1,5.0,964982931
38,648,1,3.0,964982563
39,661,1,5.0,964982838
40,673,1,3.0,964981775
41,733,1,4.0,964982400
42,736,1,3.0,964982653
43,780,1,3.0,964984086
44,804,1,4.0,964980499
45,919,1,5.0,964982475
46,923,1,5.0,964981529
47,940,1,5.0,964982176
48,943,1,4.0,964983614
49,954,1,5.0,964983219
50,1009,1,3.0,964981775
51,1023,1,5.0,964982681
52,1024,1,5.0,964982876
53,1025,1,5.0,964982791
54,1029,1,5.0,964982855
55,1030,1,3.0,964982903
56,1031,1,5.0,964982653
57,1032,1,5.0,964982791
58,1042,1,4.0,964981179
59,1049,1,5.0,964982400
60,1060,1,4.0,964980924
61,1073,1,5.0,964981680
62,1080,1,5.0,964981327
63,1089,1,5.0,964982951
64,1090,1,4.0,964984018
65,1092,1,5.0,964983484
66,1097,1,5.0,964981680
67,1127,1,4.0,964982513
68,1136,1,5.0,964981327
69,1196,1,5.0,964981827
70,1197,1,5.0,964981872
71,1198,1,5.0,964981827
72,1206,1,5.0,964983737
73,1208,1,4.0,964983250
74,1210,1,5.0,964980499
75,1213,1,5.0,964982951
76,1214,1,4.0,964981855
77,1219,1,2.0,964983393
78,1220,1,5.0,964981909
79,1222,1,5.0,964981909
80,1224,1,5.0,964984018
81,1226,1,5.0,964983618
82,1240,1,5.0,964983723
83,1256,1,5.0,964981442
84,1258,1,3.0,964983414
85,1265,1,4.0,964983599
86,1270,1,5.0,964983705
87,1275,1,5.0,964982290
88,1278,1,5.0,964983414
89,1282,1,5.0,964982703
90,1291,1,5.0,964981909
91,1298,1,5.0,964984086
92,1348,1,4.0,964983393
93,1377,1,3.0,964982653
94,1396,1,3.0,964983017
95,1408,1,3.0,964982310
96,1445,1,3.0,964984112
97,1473,1,4.0,964980875
98,1500,1,4.0,964980985
99,1517,1,5.0,964981107
100,1552,1,4.0,964982620
101,1573,1,5.0,964982290
102,1580,1,3.0,964981125
103,1587,1,5.0,964982346
104,1617,1,5.0,964982951
105,1620,1,4.0,964983056
106,1625,1,5.0,964983504
107,1644,1,3.0,964983536
108,1676,1,3.0,964982620
109,1732,1,5.0,964981125
110,1777,1,4.0,964981230
111,1793,1,4.0,964981404
112,1804,1,5.0,964983034
113,1805,1,4.0,964983056
114,1920,1,4.0,964981780
115,1927,1,5.0,964981497
116,1954,1,5.0,964982176
117,1967,1,4.0,964981710
118,2000,1,4.0,964982211
119,2005,1,5.0,964981710
120,2012,1,4.0,964984176
121,2018,1,5.0,964980523
122,2028,1,4.0,964981888
123,2033,1,5.0,964982903
124,2046,1,4.0,964982563
125,2048,1,5.0,964982791
126,2054,1,4.0,964981747
127,2058,1,5.0,964982400
128,2078,1,5.0,964982838
129,2090,1,5.0,964982838
130,2093,1,3.0,964981710
131,2094,1,5.0,964982653
132,2096,1,4.0,964982838
133,2099,1,4.0,964982588
134,2105,1,4.0,964981725
135,2115,1,5.0,964982529
136,2116,1,5.0,964982876
137,2137,1,5.0,964982791
138,2139,1,5.0,964982791
139,2141,1,5.0,964982838
140,2143,1,4.0,964981725
141,2161,1,5.0,964981710
142,2174,1,4.0,964981680
143,2193,1,4.0,964981710
144,2253,1,2.0,964981775
145,2268,1,4.0,964982989
146,2273,1,4.0,964982310
147,2291,1,5.0,964983664
148,2329,1,5.0,964983263
149,2338,1,2.0,964983546
150,2353,1,5.0,964983861
151,2366,1,4.0,964982462
152,2387,1,5.0,964983123
153,2389,1,2.0,964983094
154,2395,1,5.0,964981093
155,2406,1,4.0,964982310
156,2414,1,3.0,964982513
157,2427,1,5.0,964982242
158,2450,1,4.0,964982620
159,2459,1,5.0,964983414
160,2470,1,5.0,964982588
161,2478,1,4.0,964984169
162,2492,1,4.0,965719662
163,2502,1,5.0,964981278
164,2528,1,3.0,964982328
165,2529,1,5.0,964982242
166,2542,1,5.0,964981265
167,2571,1,5.0,964981888
168,2580,1,5.0,964983000
169,2596,1,5.0,964981144
170,2616,1,4.0,964983080
171,2617,1,2.0,964982588
172,2628,1,4.0,964980523
173,2640,1,4.0,964982377
174,2641,1,5.0,964982620
175,2644,1,4.0,964983393
176,2648,1,4.0,964983414
177,2654,1,5.0,964983393
178,2657,1,3.0,964983426
179,2692,1,5.0,964981855
180,2700,1,5.0,964980985
181,2716,1,5.0,964983414
182,2761,1,5.0,964982703
183,2797,1,4.0,964981710
184,2826,1,4.0,964980523
185,2858,1,5.0,964980868
186,2872,1,5.0,964981680
187,2899,1,5.0,964982703
188,2916,1,4.0,964982290
189,2944,1,5.0,964981872
190,2947,1,5.0,964982176
191,2948,1,5.0,964982191
192,2949,1,5.0,964981888
193,2959,1,5.0,964983282
194,2985,1,4.0,964983034
195,2987,1,5.0,964982495
196,2991,1,5.0,964982271
197,2993,1,5.0,964982242
198,2997,1,4.0,964980896
199,3033,1,5.0,964983762
200,3034,1,5.0,964982791
201,3052,1,5.0,964981208
202,3053,1,5.0,964984086
203,3062,1,4.0,964981872
204,3147,1,5.0,964983873
205,3168,1,4.0,964982495
206,3176,1,1.0,964983504
207,3243,1,3.0,964981093
208,3247,1,3.0,964983108
209,3253,1,5.0,964981107
210,3273,1,5.0,964983536
